delta,gamma,kappa,lambda_s,v,energy
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.6998797487633901362457226697564858811898138954308712947466142630294893030819976,16.338168943929835561846635223375881057405979842159708527977293078360976789236449,0.50650104554536076416700603718956858769096857703991483279248431220703682516601303,0.42757218189757269867098764634745246937636922458436423894266050482717164951692854,0.047661284623289485232783855366759047879899708784839104262833859332811347575137347,1.9561085861434363014570316707525523372673680506124833387696073062908090698527622
1.6998797487633901362457226697564858811898138954308712947466142630294893030819976,16.338168943929835561846635223375881057405979842159708527977293078360976789236449,0.50650104554536076416700603718956858769096857703991483279248431220703682516601303,0.42757218189757269867098764634745246937636922458436423894266050482717164951692854,0.047661284623289485232783855366759047879899708784839104262833859332811347575137347,1.9561085861434363014570316707525523372673680506124833387696073062908090698527622
1.6998797487633901362457226697564858811898138954308712947466142630294893030819976,16.338168943929835561846635223375881057405979842159708527977293078360976789236449,0.50650104554536076416700603718956858769096857703991483279248431220703682516601303,0.42757218189757269867098764634745246937636922458436423894266050482717164951692854,0.047661284623289485232783855366759047879899708784839104262833859332811347575137347,1.9561085861434363014570316707525523372673680506124833387696073062908090698527622
1.6998797487633901362457226697564858811898138954308712947466142630294893030819976,16.338168943929835561846635223375881057405979842159708527977293078360976789236449,0.50650104554536076416700603718956858769096857703991483279248431220703682516601303,0.42757218189757269867098764634745246937636922458436423894266050482717164951692854,0.047661284623289485232783855366759047879899708784839104262833859332811347575137347,1.9561085861434363014570316707525523372673680506124833387696073062908090698527622
1.6998797487633901362457226697564858811898138954308712947466142630294893030819976,16.338168943929835561846635223375881057405979842159708527977293078360976789236449,0.50650104554536076416700603718956858769096857703991483279248431220703682516601303,0.42757218189757269867098764634745246937636922458436423894266050482717164951692854,0.047661284623289485232783855366759047879899708784839104262833859332811347575137347,1.9561085861434363014570316707525523372673680506124833387696073062908090698527622
1.6998797487633901362457226697564858811898138954308712947466142630294893030819976,16.338168943929835561846635223375881057405979842159708527977293078360976789236449,0.50650104554536076416700603718956858769096857703991483279248431220703682516601303,0.42757218189757269867098764634745246937636922458436423894266050482717164951692854,0.047661284623289485232783855366759047879899708784839104262833859332811347575137347,1.9561085861434363014570316707525523372673680506124833387696073062908090698527622
1.6998797487633901362457226697564858811898138954308712947466142630294893030819976,16.338168943929835561846635223375881057405979842159708527977293078360976789236449,0.50650104554536076416700603718956858769096857703991483279248431220703682516601303,0.42757218189757269867098764634745246937636922458436423894266050482717164951692854,0.047661284623289485232783855366759047879899708784839104262833859332811347575137347,1.9561085861434363014570316707525523372673680506124833387696073062908090698527622
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
1.71,16.339,0.5,0.41666666666666666666666666666666666666666666666666666666666666666666666666666667,0.0477,0.0
