delta,gamma,kappa,lambda_s,v,energy
1.7046862565888499571102088064853378655161999166963700173835990734835822847878728,16.337805278551945943745975253657402259010408131545022654620693210614232129693475,0.51217709401449921596972204581092062227570104486755253733397147470190411622035261,0.43720895938856194766918581014346839728157679496398156394653602335973817068145748,0.047754549805497444890603503234850655681159219066041970794067371383335177345076242,4.1673205089261444276665264767504707759696729028556317896610240539423893565239626
1.7254206033964003229675738112991861112552233669487105006023943801842899481538627,16.338362874447427797226681866259179659256352885906373565802541320314899978237916,0.48654790786370399977952986953450618483695901501482358715534964858443818186394267,0.3945481110775789941108367302785870499057073802746692382018817000829986582198422,0.047623025071179084805007655728115464020766639399922779835955332834032242076940608,4.882790625518440365854958177651508298642910548816714731797547340522512698595948
1.7046854656880624419585961928709615315252140436224063256334591008536117429695748,16.337805131049021432609353502569566856610737578000851796065273952231931121125951,0.51217756884864294725862079498496667790951252653233391471339382614018964270462367,0.4372097700528439772912336392517531593256691664737428348040702637663577160159975,0.047754716396033533128985939076333756892143768772415368997380970269309665508920209,4.1697113057698649910927965920909990609403081703214284518608653840016391597317265
1.7046868528601920547867824944282770242910291184173412927714999829288268262427787,16.337804575693340670165955162986161538374377778637974381224641435364776198743955,0.5121782123540019702495171087738538897870854247139074397562151946910580766161003,0.43721086868356856076511188035157331902057476261150820609498382222773902060480706,0.047755460425207997141550822414012777617648843116749378485044232582152593001275746,4.1794156155704819525853311132238539115596501300172928203501730024296944443197007
1.72541885144747957612595658989711041652104308997809685410756964820849444109859,16.338362974030061102121969654187807284808831486794722273589994806728828445767576,0.48654654597918569395203520731701630484192023886818318773070281854209748554330207,0.39454590234045976428397479152872460673266620840467090972376547589543227661266995,0.047622431392482687392311699001295095996219664266575333726211325738815050433622746,4.8921710682254289167022564755235142312040206628661107752411578246909973487047753
1.7254196440619926213047493600501112632239760096565968922744130141596069683375109,16.338363203571068386681648203658457566206372887030319284704970081997451566817022,0.48654641439826503472203312111251252583312585213004577887323674266338657820476549,0.3945456889396804084829940693586392792128552622755395729222549023144467314461284,0.047623072364232995376991330782307537440081020928526270159150722885738034241180965,4.8821398563096737260544489707759239454701856258976608607247235217992805812539885
1.7254201247492285564851216469101779164060667562656494107526300130275613108425668,16.33836303770080680597165959280303997364113251726081729818099011933267185283045,0.48654626718424756175919928006191509540945229292681307161468336001629254729089766,0.39454545018487535964921314876772431664991136126556793792151645551678101932469045,0.047623092618797661555627872129194964270097718543196043432400206848180109250181216,4.8821673273020978849230110307261007910298946778985632823305859793767295732398217
1.7254198487105542128137729448542771948424103718167722520766828003827675745428336,16.338363159089773000203865497741676785716746156061150892919858059816108589232124,0.4865466154432744210773303049357503544994812414378147505181894794675970569933174,0.39454601499884260563168606431376098038636928633198953259923381140139086704380752,0.047623425776950932687689945410020582840239406124548669072254460263964461574750455,4.8767150848438739942152870046203185374124850115221743164428997306759311117224531
1.7254199608798326862414091206563047626452200197707616877171097629046128625148991,16.338363403588688771246959437715080350837124176283135893848070050660484928881326,0.48654649866961399410103918066434996862035933920791717395677259025419127591310394,0.39454582561276782021948240687000685999631047303173752662682000595599664245240134,0.047622484858243962338487417161291783489687266764143025657020134015870597480044659,4.8909667559557217912325776137049849774155700753919014332402984937978352653739358
1.7254199025189335900234874763306752451460977982435473407738647797192335835797962,16.338363285894108018249538814517175799131155649999432959993479965280185815137961,0.48654663539712944437478422113001438907378108058289149122143717495097921008082503,0.39454604736044535799608946478872271977665407911051937056595005217105642289472497,0.047622484908968287177314009452584686749651501321783851818781717835665854910432078,4.8910503490723588393827953105179026627990493731298056407754824311432965262103367
1.7172034381096734263289560676323021723972829388347341280468116959572244961903012,16.3388562185979391828981489146910548011247698838157211132122360315046323086348,0.4971379508475091470257203994067667732818403232198070361062281469470529361177119,0.41191023695476736772583704593464442686502618012562985513043424790368906132767398,0.047463523951641493018930739311369456193759387330518844732022576272491110960101691,5.9713747864728086771915937686126859940260732692491981544065861176502478966359241
1.7254192410377748631825990243142201206866614946676877510405834491358292005283517,16.338363454166660266653993258859882147760461058525881063496731368286641875097681,0.48654655333826802409617849275369153859254197138786562643987470513813935863005997,0.39454591427558015223776404728336830942394158128665169422986833165993440019931812,0.047622416684757471687956723412370365298625729429462735821577680809171103346587288,4.8918380756081586308041762193382038005190929075832434315422814904168968252191801
1.7254198559310236837660358721214873429826522157616412040795086152730863550472559,16.338363321658349780148547175095572330999186070752571696159414184798436950076391,0.48654663407262374366004869132027078176771927130492629336554288445829789487660478,0.39454604521233272009637545036527665360464731570884552177704707228833679603186886,0.047622125869425686527802984240851669738071947537062740152349230691580659778930442,4.8965780659081472869011938823304687676527155376649095092853979930422926016746513
1.725419915378029264293174598425975477922485152414602998756814106474186113723824,16.338363580534203376001265345543256641020914358304867550889270666939068706290566,0.48654649795935149400534123760985728964286098742373663778925772842255578343331183,0.39454582446084871253397640991286953075496079614750669164107083092328509212849162,0.047622319406205228720767890071448048125048584492163123051662810160515687302078041,4.8933033084456428701480446937519692936953150607383719365791136344848632592664225
1.7254201883758646198072303131721406521818625414785295735061980774012088603447086,16.33836389208431388199164552752469594124944975787325005001535365634067019411743,0.48654707564035749080532917915031112242048733747160635999339047404115534763586555,0.39454676135697292270233721514327828020795380196356973110346075486183185278317712,0.047622106070037892857234684172105095043834465149705571376054992371583962228547384,4.8960203741376162765628828336775320534437447815987596336967374952621810280376809
1.70468561872854531711858760833022280316647268065179680696286307968893899310287,16.337803973830878615629027930247262391880053614728221269705555043892126712255301,0.5121780988753031270808925014326910574950467894888232088606887865137968432307801,0.43721067494586631061607198555017501602526656701920689206040640481453961425401491,0.04775781792790516047855728966926003031538949306288168883799094561349957565476817,4.2075754481592793784234169774966900391656070959800182264403587009495634278657353
1.7046856232726344229860131188488286856929499831043770530609099668252605681088705,16.337803717266674060293169368057975179338755885216465478311822184990663190092643,0.51217783808120382144549432128399086003094890950187847633103928228107843093648819,0.43721022970255973236196115541729228141235434889620280184440212854107239050464824,0.047757598280593778440553628576426989178876354962374329470507148401683311429070259,4.2055546801458138626526327655275496391634945887542343054525117098605086292610587
1.725420192493506873107431398484650975426302222829405181827459353666656761015508,16.338363536643689985213573458539881379050898230726053692292893009872169052188981,0.48654734955784331188519871965337006697396116451392157541986659951215041859885555,0.39454720560293695070239403231021650186106124576743496648014074848362321183669404,0.047621506871640571095466525394677599681001998234602550432740227876459254841353928,4.9057287947305770906710786564492468750947537788405259325979169161295371998206165
1.7046855385483479087265815208797297341447667671073408639766509680682138464020296,16.337803626416013527841748185724186135362260777718644894618870051713010912038021,0.51217741687763187998146995086918763086809038101013446840884800192131243179270536,0.43720951059907252291083421899244037647394941370709831685464774795227915423718662,0.047757457208139846918254130632903890618953849238434113346648445112741154687886616,4.2039926514726321512357222998839057267359552346197749941196730883262735153999312
