delta,gamma,kappa,lambda_s,v,energy
1.717203022035407834242306908552766725466923655836047053564694315349321589735809,16.338854596025427340427530651170137046887725049027065468596804108607707174714452,0.49712325898730019416988965346773896588506939551658599120691724437227872291122014,0.41188589104359057212382995578774766152019750797559477367037759861283552940994301,0.047460385676652991003814762887132926483609494915321817842558680973480768339964549,6.1225450190779747470581765413605274378745904668970751703036359217361077019342616
1.72541309190687655207410051163333379141310174169135339193712864123438140157435,16.338363033357996839855475559579216952413037835125518541205697342211416891977025,0.48653838011688875444647956547548436978457264240869519055548607252758219109491049,0.39453265887794355078479818315856931061623236384676155906351754492735522989738203,0.047624687448426785914835739402287496000311669912110753772759982965304328708764507,4.8602495426048009101540644841228522864605979552697599410414895380040296181437855
1.7147025121644086777796709262558492021065448221102687071728255712256514355385115,16.338289102985443545563240328728207328914593973009154468532321281549083325004308,0.5195153849290089475034936054517211291672765306239244212730880170960558485629491,0.44982705862989389511080711349523288242980359317335041419513355795254729049769966,0.047621140449997936832087547483202488013132788210681524117041412222921375289590706,7.1763253259214721999584203131567149261832010728838150347932671510869510379517422
1.7172184487147816078097270959218377333841856380098483896298707836236971077826523,16.338868301159408522023775097754728945979574934594927200594647140016140843163124,0.49713419253921788285521092915591180697377352957017510417311278418511229453633818,0.41190400898603359550184633616973815477187515940969033890124742256107815148655084,0.04747066401756109402888170318253935125300727832428873251377645526027494152360614,5.6367519179557509666525503122960654506701014407204091509164485422649826312544356
1.7254187479157374399972176629047980831071595967596753304604185815283324341868622,16.338350127752706078436905515159026595057778168908325518097905114631325748831389,0.48654155907314488158831254345545079441805658672225333123970056748546853549216372,0.3945378145088775507450768930778480273962061700221296291351583516114478867565887,0.047626559232251721437445112219437991346027611071027736458045783131935547333082707,4.8484514653381419624489972274305040924489598340686150641413505851530088351116296
1.7254191646830084847556002604267310713314806632578385945801634537859316381811865,16.338348781131759727774599233024066200173085226719802562305834626531408491143713,0.48653917380508702376319518582009608991991050830938270209794065832107161696857513,0.39453394607822779852952963820810227760411105127967749160312209808640997204372391,0.047633220140775851316147251222691708540372666977664816022293477480331735834911226,4.7578642620382115403246180335211800836318556511384894446482167196105724452421373
1.7172325006240380431943706966416922660360987563883987001480007709338821506739764,16.338867961792689830037044357726431010777992001440146767022994197438083336138246,0.49712696624989004758556987069217755541418662734020968422175976512474772957016316,0.41189203428803219740344164379791245078949893331144687424718643278097962206876852,0.047488919030774102782877515084152919067130809204748336844488083350161983103974221,4.8344101754571159519846886953415285162725739981863523866866731780403199429567155
1.7147199716477007606662661789117973547021453302051623693492078194119805476936013,16.338292090383638096652073827099456371579420924625254892099105049346210966648266,0.51951242092289055570815278752945336816316181667572814352337789384872819724614174,0.44982192582193768805650252428941224143396544422130395180682974451274675024684685,0.047624273134691912952998364984535239432902679938429466898213255847730527694457512,7.122583419955683445814884682494890839156885748051984181871553383896339066202848
1.7172347917659876483488072966569446829737419841746016780903361287539206526900017,16.338865229993949273059135569811053203483186244595778231358051374152562417434784,0.4971319727052815955766901413508238786258202702222778058923697568859619237768919,0.41190033047640807557685837244098257994970986766698461644411989082975132099289231,0.047483882536565615632482760911222825420506332858618340507685006730220942964451476,5.0499955038393933729097609613107392743034449176419603837455197039893275268520186
1.7147279249994955301515381325066070817684461565137135749530580306866355905321888,16.338312580999663836126126614040499483483023574624757139109734809425945007502146,0.51950963269545215227606072628245960979752937238342826116017344444358123704185512,0.44981709743893934648123706124451966051567445513559136049086846556832601167173372,0.047616210564184948712076000748439078076889802822228301371563945819106974428866487,7.2212373490639239151053222228501663135220921298398496075607272722299894665586773
